scenario;horaire_kwh;moyenne_kwh;ecart_pct;t_horaire_us;t_moyenne_us;acceleration
fort ombrage;1351,7;1342,8;-0,66;25,2;6,46;4
faible ombrage;1544,5;1543,5;-0,06;23,4;6,71;3
